,총무과,자치행정과,홍보과,교육지원과,문화체육과,민원여권과,기획예산과,일자리경제과,스마트정보과,재무과,징수과,재산세과,지방소득세과,복지정책과,어르신복지과,자립지원과,가족정책과,보육정책과,녹색환경과,건설관리과,공원녹지과,청소행정과,주택과,도시계획과,재건축사업과,건축과,부동산정보과,안전재난과,도로과,치수과,교통행정과,주차관리과,보건행정과,보건위생과,지역보건과,의약과,보건지소
69,,,미디어영상팀 업무용 차량 관리,,,,,사회적경제 통합지원센터사업 운영관리,소규모CCTV 공사 설계 발주 감독,,,,,,,"의료급여사례관리(신월2,4,6,7동, 신정2,4,6동)",입양가정 지원 및 사례관리,,,,생태농업분야 근로자 복무관리 및 인부임 관리,,"위반건축물(항측, 신발생) 단속 및 처리- 담당동: 신월3,6동, 신정3,6동",,,,,,도로 기전시설의 설계시공 및 감독,목동 빗물펌프장 수방시설물 및 소방시설물 유지관리 업무,인증기 관리 및 총괄,세외수입(특별회계),"금연구역 흡연단속,민원처리",,,,
70,,,유튜브 영상콘텐츠 구성안 대본 작성,,,,,"입주기업, 창업디딤누리, 양천 청년소셜벨리",방법CCTV 현장시시스템 긴급복구공사 추진,,,,,,,"의료급여 신규자 관리, 산정특례등록",보호대상아동 보호조치 등에 관한 사항(신정동),,,,생태농업분야 각종 공공요금 납부,,,,,,,,재건축현장 보안등 관련 업무 협의,오목빗물펌프장 수방시설물 및 소방시설물 유지관리 업무,수출이행신고,주정차과태료시스템 관리,흡연 및 금연구역 민원 처리(신정동),,,,
71,,,"촬영에 필요한 장소, 게스트, MC 섭외",,,,,중소기업 육성기금 지원 및 운용 업무,불법주정차단속 CCTV 신규 구축 설계 발주 감독 및 운영관리,,,,,,,동일성분의약품 중복투약관리,보호대상 아동 보호조치에 관한 사항(목동),,,,조성계획 및 유지관리 계획(녹지분야),,,,,,,,"가로등, 분전반 및 기전시설물 정비(관리 총괄)",오목빗물펌프장 수방시설물 및 소방시설물 유지관리,자동차 해외일시반출입,운수(운전자)과태료 및 과징금 부과징수 및 체납관리,금연구역 시설점검 및 지도단속,,,,
72,,,스크립트 작성 및 자료 수집,,,,,소상공인 무이자 융자 지원,지능형 선별관제시스템 운영관리 및 고도화 추진,,,,,,,"의료급여 사후관리(사망상실, 중복이중청구, 출국기간 중 청구 등)",학대피해아동 보호조치 지원,,,,"하천, 제방 생태복원 녹화사업 및 유지관리",,,,,,,,"가로등, 육교등, 분전반 및 부속 시설물 보수",오금1빗물펌프장,"소유권이전등록(특사경업무지원,경매,공매)",주정차위반과태료 체납처분(독촉 및 압류),흡연 및 금연구역 민원 처리(목동),,,,
73,,,,,,,,복권판매 업무,지능형 선별관제시스템 고도화 및 운영,,,,,,,"의료급여사례관리(목동, 신월1동)",공동생활가정 보호아동 사례관리,,,,"녹지분야 하천 점,사용 업무",,,,,,,,도로기전시설물 순찰(가로등 야간 순찰 포함),"오금1 빗물펌프장 소방시설물(수문, 펌프, 기계, 전기, 통신 등) 및 소방시설물 유지관리 업무총괄",인증기 관리,"세외수입(시특별,구일반회계) 현계",흡연 및 금연구역 민원 처리(신월동),,,,
74,,,,,,,,불법공산품 행정처분 업무,신월3동 스마트 도시재생 CCTV 발주 및 구축,,,,,,,상해요인조사(100만원 미만),사례회의 자료 총괄,,,,녹지분야 정비 및 관리에 관한 사항 등 협의,,,,,,,,가로등 민원사항 처리 및 긴급사고 대응,"오금1 빗물펌프장 수방시설물(수문, 펌프, 기계, 전기, 통신 등) 및 신일펌프장 유지관리업무",자동차 신규(해외 이사짐 포함) 및 부활등록,과오납 환급,금연구역 시설점검 및 흡연자 지도 단속,,,,
75,,,,,,,,"대부업, 전화권유업",CCTV 스마트폴 통합 구축,,,,,,,"통합조사(목5동, 신정6동)",보호대상아동 보호조치에 관한 사항(신월동),,,,"하천,제방 생태복원 녹화사업 및 유지관리",,,,,,,,"승강기, 지하보차도 기전설비 유지관리 등",오금2빗물펌프장 수방시설물 및 소방시설물 유지관리,"자동차등록번호판, 부착소 관리",주정차위반과태료 렌터카 임차인 명의변경,흡연 및 금연구역 민원처리(신정동),,,,
76,,,,,,,,방문판매업,스마트시티 통합플랫폼 운영 및 관리,,,,,,,"통합조사(신월1동, 신정1동)","서울SOS어린이마을 보호아동 사례관리, 보호대상아동 사례관리 총괄 및 현황 관리",,,,"안양천 녹지 시설 등 하천 점,사용 업무 협의",,,,,,,,가로등 육교등 분전반 및 부속시설물 보수,오수중계펌프장 유지관리 업무총괄,자가용 사용신고,압류해제 및 일일결산,,,,,
77,,,,,,,,통신판매업 신고증 발급 및 민원처리,스마트시티 통합플랫폼 운영,,,,,,,직무역량강화교육,아동보호전담요원 실적 취합,,,,벚꽃십리길 정비 관리,,,,,,,,가로등 고소작업차량 관리,"양화빗물펌프장 수방시설물(수문, 펌프, 기계, 전기, 통신 등) 및 소방시설물 유지관리 업무 총괄",저공해 스티커 교부,시효 및 불납결손,,,,,
78,,,,,,,,"다중이용시설(전통시장, 대규모 점포) 소방 시설 등 안전 관련",통합관제센터 견학 프로그램 운영,,,,,,,사회복지가이드북 제작,드림스타트 업무계획 수립 및 예산 회계관리 총괄,,,,조명 및 cctv 등 시설확충 및 유지관리 지원,,,,,,,,제설대책기간 단계발령 시 제설용 유니목 운전,양화빗물펌프장 수방시설물 및 소방시설물 유지관리,"변경등록(용도, 등록번호, 타시도 전입 등)",체납 및 말소차량 대체압류,,,,,
79,,,,,,,,농수특산물 직거래장터 운영,통합관제센터 관제업무 운영 관리,,,,,,,통장사업 조사 총괄,"공무직,기간제 센터 운영인력 관리 총괄",,,,"시설분야 조성, 확충 및 유지관리 계획 수립, 연간단가 사업 추진",,,,,,,,,오수중계펌프장 유지관리,"택시 차령연장, 자가용 화물 차고지 증명",,,,,,
80,,,,,,,,"전통시장 및 상점가 상인회 등록 업무(월정로, 약수)",통합관제센터CCTV 정보공개청구(신월동),,,,,,,통합조사(신정3동-기초연금 제외),"운영위원회, 슈퍼비전 지원체계 구성 운영",,,,해빙기 및 풍수해 안전관리,,,,,,,,,신월빗물저류배수시설 관련 업무(토목),"지입차량 특기사항 등록, 봉인 관리",,,,,,
81,,,,,,,,"시장민원처리(우성, 약수, 신정제일, 신정1？2동)",통합관제센터 근무일지 작성 및 수사자료 제공,,,,,,,국민기초생활보장 조사 총괄,"대외협력 및 협약기관 운영 관리, 홍보 및 홈페이지 관리",,,,기타 잡상행위 등 불법행위 단속,,,,,,,,,신월빗물저류배수시설 자동제어시스템 운영,외부장치용 등록번호판 신고,,,,,,
82,,,,,,,,전통시장 골목형상점가 등록(월정로 약수 외),스마트시스템 운영관리,,,,,,,청년월세 조사 총괄,통합사례관리 및 통합정보시스템 관리 총괄,,,,안양천생태공원 현장관리,,,,,,,,,"안양천 유지관리 업무 및 민원처리(제방,자전거보행자도로 등)","소유권 이전등록(강제이전, 포털이전, 상품용 차량 이전)",,,,,,
83,,,,,,,,전통시장 시설현대화(목동깨비),통합관제센터 운영 관련 정보공개업무 처리(목동지역),,,,,,,공용휴대전화 관리,드림스타트 프로그램 수행 및 관리 총괄,,,,,,,,,,,,,연의근린공원 유수지 유지관리 업무,소유권 이전등록,,,,,,
84,,,,,,,,"시장민원처리(목동깨비, 경창, 신월6동)",통합관제센터 공공요금납부,,,,,,,"통합조사(목3동, 신월4동)",서비스 간 연계 및 사후관리 총괄,,,,,,,,,,,,,신월빌물저류배수시설 운영 및 유지관리(기계분야),임시운행 허가,,,,,,
85,,,,,,,,담배소매인 지정 등 관련 업무,CCTV실시간 영상감시및 계도방송,,,,,,,서울형기초 조사 총괄,가족지원분야 지역자원 발굴,,,,,,,,,,,,,신월빗물저류시설(구 신월지하차도) 유지관리 업무(기계분야),회수 자동차등록번호판 관리 및 폐기,,,,,,
86,,,,,,,,전통시장 시설현대화 사업 및 유지보수,"비상벨 호출 대응및 경찰,소방업무 협조등",,,,,,,"통합조사(신월2동, 신정3동-기초연금)","목1동, 신월2동, 신월4동, 신월7동, 신정2동 위기아동 발굴 및 통합사례관리",,,,,,,,,,,,,비점오염저감시설(신정숲속마을) 유지관리 업무,소유권 이전 등록,,,,,,
87,,,,,,,,월정로시장 중앙노점 관리,개인 영상 정보 열람 제공및 파기 관리,,,,,,,통합조사(신정4동-기초연금 제외),통합정보시스템 기록 관리,,,,,,,,,,,,,신월빗물저류배수시설 자동제어시스템 운영 및 관리,"소유권이전등록(인증기관리,포털민원)",,,,,,
88,,,,,,,,"고객주차장 및 공유센터 유지관리(목동깨비시장, 목사랑시장), 전통시장 고객지원센터 지원 관련",CCTV 실시간 영상감시 및 계도방송,,,,,,,초중고교육비 총괄,"보육분야 지역자원 발굴, 프로그램 수행 및 관리",,,,,,,,,,,,,신월빗물저류배수시설 운영 및 유지관리(기계),,,,,,,
89,,,,,,,,"시장민원처리(신영, 월정로, 서서울, 신월3동)",비상벨 호출 대응 및 경찰 소방 업무 협조 등,,,,,,,타법의료급여 조사 총괄,"목4동, 신정1동, 신월6동, 신월3동, 신정4동 위기아동 발굴 및 통합사례관리",,,,,,,,,,,,,자동제어시스템 운영 및 관리,,,,,,,
90,,,,,,,,특성화시장 육성사업(문화관광형),개인영상정보 열람 제공 및 파기 관리,,,,,,,한부모가족 조사 총괄,"보건분야 지역자원 발굴, 프로그램 수행 및 관리",,,,,,,,,,,,,소방관련 시설물 유지관리,,,,,,,
91,,,,,,,,전통시장 경영현대화(국시비 보조금 사업 등),CCTV 실시간 영상 감시 및 계도방송,,,,,,,"통합조사(신월6동, 신월7동)","목2, 목5, 신월1, 신정6, 신정7 위기아동 발굴 및 통합사례관리",,,,,,,,,,,,,신월 빗물저류배수시설 운영 및 유지관리(전기분야-보조),,,,,,,
92,,,,,,,,"시장 민원(목사랑, 신곡종합, 목2동 )","비상벨 호출 대응 및 경찰,소방 업무 협조 등",,,,,,,기초연금조사 총괄,"복지분야 지역자원 발굴, 프로그램수행 및 관리",,,,,,,,,,,,,소방관련 시설물 유지관리 업무,,,,,,,
93,,,,,,,,,개인영상정보 열람 제공 및 파기관리,,,,,,,"통합조사(신정2동, 신월3동)","목3, 신월5동, 신정3동 위기아동 발굴 및 통합사례관리",,,,,,,,,,,,,신월빗물저류배수시설 운영 및 유지관리(기계분야)보조,,,,,,,
94,,,,,,,,,"비상벨 호출 대응 및 경찰, 소방 업무 협조 등",,,,,,,장애인급여 조사 총괄,드림스타트와 지역아동센터 연계업무 지원,,,,,,,,,,,,,안양천 출입통제시설 관리 보조,,,,,,,
95,,,,,,,,,"개인영상정보 열람, 제공 및 파기 관리",,,,,,,공용차량관리,돌봄 필요아동 발굴 연계,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,비상벨 호출 대응 및 경찰 소방 업무 협조,,,,,,,"통합조사(신정4동-기초연금, 신정7동)","지역아동센터 아동복지교사,아동돌봄교사 관리",,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,비상벨 호출 대응 및 경찰？소방 업무 협조,,,,,,,유급병가 조사 총괄,드림스타트 맞춤프로그램 지원,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,개인영상정보 열람？제공 및 파기 관리,,,,,,,차상위본인부담경감 조사 총괄,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,"CCTV모니터링,실시간계도방송",,,,,,,"통합조사(목1동, 목2동)",,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,희귀질환조사 총괄,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,차상위계층 조사 총괄,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,차상위자활 조사 총괄,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,"통합조사(목4동, 신월5동)",,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,맞춤형급여 관리 총괄,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,통합관리(신정3동),,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,"통합관리(신정2동, 신정7동)",,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,업무보고자료 작성,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,생활보장위원회 자료,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,"통합관리(신정4동, 신정6동, 시설수급자)",,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,보장비용 징수 총괄,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,"통합관리(목4동, 신월3동)",,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,조건부과(제시) 유예자 관리 총괄,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,근로능력판정업무 총괄,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,"통합관리(목1동, 목3동, 신월4동)",,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,장애인복지 관리 총괄,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,한부모가족 관리 총괄,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,"통합관리(목5동, 신월1동, 신정1동)",,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,의료급여 관리 총괄,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,"통합관리(목2동, 신월7동)",,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,차상위계층 관리 총괄,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,"통합관리(신월2동, 신월5동, 신월6동)",,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,기초연금 관리 총괄,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,서울형기초보장 관리 총괄,,,,,,,,,,,,,,,,,,,,,
